vin,brand,model,year,mileage,defects,dealer,price
F3JXYJFFMP0VPCBLX,Toyota,Corolla,2018,33250,нет дефектов,АО «Панова»,21839000.0
9VKHC9V6MXYWWLPAG,BMW,3 Series,2025,6165,нет дефектов,"ЗАО «Кононов, Сысоев и Воронцов»",21284000.0
ZDTM4H0ACCPJFHPKB,Toyota,Camry,2019,62107,нет дефектов,ООО «Суханова Харитонов»,9062000.0
WDLECX3P4FN4ALYWK,Hyundai,Sonata,2020,66794,"царапина на бампере, коррозия порогов",НПО «Гусева Горбачева»,14781000.0
7LTKAVDME6W3H56TH,Lada,XRAY,2023,13191,"коррозия порогов, скол на лобовом стекле",АО «Шашкова Бирюкова»,17802000.0
CXATVJ8TP69DGN91M,Lada,Vesta,2020,65235,неисправность датчика давления в шинах,Лобанова Инк,5827000.0
239SPN11KUN47BYHF,BMW,X5,2019,2561,неисправность датчика давления в шинах,ОАО «Самойлов Матвеев»,13623000.0
G7543XU4JRTR1P1BL,Kia,Rio,2016,6307,коррозия порогов,АО «Ковалев-Гурьева»,23972000.0
R4M2CRLHA1V5PNDG0,Mercedes-Benz,GLE,2019,18683,"царапина на бампере, не работает кондиционер, неисправность датчика давления в шинах",ОАО «Воронцова»,23331000.0
0945VR82JJRXT15F5,Hyundai,Elantra,2022,42447,нет дефектов,РАО «Петров»,21792000.0
